Duration (in seconds),Q1,Q41,Q2,Q8,Q3,Q3_4_TEXT,Q42,Q43,Q20,Q21,Q46,Q49,Q50,Q53,Q55,Q44,Q45,Q9
263,30,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Indifferent,No,January 2021,
345,35,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Very optimistic,No,January 2021,
349,74,Female,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$10,000 to $39,999",Very pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Very pessimistic,No,February 2021,
215,32,Male,Asian,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Indifferent,No,February 2021,
308,36,Male,Asian,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,April 2021,
183,27,Male,Hispanic/Latino,High school diploma or GED,Democrat,,Non-remote working,"$80,000 to $119,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,"Maybe, I had symptoms but did not get tested",February 2021,
231,31,Male,Hispanic/Latino,"Associate's degree (e.g., AA, AS)",Republican,,Non-remote working,"$80,000 to $119,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,December 2020,
271,48,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Non-remote working,"$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Not at all,Rarely (Only a few times in the month),"No, but thinking about seeking such services in the near future",Somewhat pessimistic,No,June 2021,Very interested (2)
134,30,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat pessimistic,No,June 2021,
173,34,Male,American Indian/Alaskan Native,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,In-person Education,Work from home","$80,000 to $119,999",Very pessimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat pessimistic,No,February 2021,Very interested (2)
115,25,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"In-person Education,Work from home,Prefer not to say","$40,000 to $79,999",Very pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,"Yes, I tested positive",March 2021,
219,44,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,January 2021,
248,61,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Indifferent,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",January 2021,
401,37,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,Work from home","$160,000 to $199,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Very pessimistic,No,March 2021,
336,58,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Remote Education,Recently paused/terminated education to COVID-19 related reasons,Work from home","$40,000 to $79,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,"Yes, I tested positive",December 2020,
423,30,Male,"Hispanic/Latino,White",Some college credit,Democrat,,"Remote Education,Unemployed before COVID-19","$10,000 to $39,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Indifferent,No,March 2021,
666,34,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,Other","$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Not at all,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat optimistic,No,March 2021,
193,32,Male,White,Some college credit,Democrat,,Work from home,"$0 to $9,999",Very optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,January 2021,
115,25,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"In-person Education,Recently paused/terminated education to COVID-19 related reasons,Non-remote working","$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Indifferent,"Yes, I tested positive",March 2021,
107,27,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,September 2021,
491,29,Male,White,High school diploma or GED,Republican,,Unemployed before COVID-19,"$10,000 to $39,999",Indifferent,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,April 2021,
637,35,Male,Asian,"Bachelor's degree (e.g., BA, BS)",Democrat,,In-person Education,"$80,000 to $119,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Somewhat optimistic,"Yes, I tested positive",February 2021,
156,29,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",January 2021,
209,27,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Somewhat optimistic,"Yes, I tested positive",December 2020,
153,29,Male,White,High school diploma or GED,Independent,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Indifferent,No,April 2021,
218,53,Female,"Black/African American,White","Associate's degree (e.g., AA, AS)",Democrat,,"Remote Education,Unemployed before COVID-19,Other","$10,000 to $39,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,June 2021,
259,31,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
147,46,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Very pessimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,Some time in 2022 or later,
694,34,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Indifferent,Not at all,Rarely (Only a few times in the month),Not at all,Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,January 2021,
87,56,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$120,000 to $159,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Yes, counseling",Very optimistic,"Yes, I tested positive",December 2020,
136,33,Male,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat pessimistic,"Yes, I tested positive",December 2020,
1373,73,Male,White,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$10,000 to $39,999",Very optimistic,Rarely (Only a few times in the month),Not at all,Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
147,26,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, prescription drugs",Somewhat optimistic,No,April 2021,Very interested (2)
923,32,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, prescription drugs",Somewhat pessimistic,"Yes, I tested positive",February 2021,
143,48,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Very optimistic,Constantly (Nearly every day or every day),Sometimes (Less than 50% of the time),Constantly (Nearly every day or every day),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Very pessimistic,No,December 2020,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Extremely interested (1)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Very interested (2)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Moderately interested (3)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Extremely interested (1)
,,,,,,,,,,,,,,,,,,Very interested (2)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Moderately interested (3)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Extremely interested (1)
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Very interested (2)
